,agreement,ars,block_sizes,dataset_name,dataset_type,Lower bound,max_order,Number of cuts,order_best,p,percentile_orders,preprocessing_name,q,seed,unique_id
6135,50.0,0.0,"[100, 100]",sbm,graph,0.3,4871.0,50.0,3824.0,0.09,100.0,fid_mat,0.87,42.0,1589802894
6136,50.0,1.0,"[100, 100]",sbm,graph,0.4,5106.0,50.0,1828.0,0.83,100.0,fid_mat,0.18,42.0,1589802894
6137,50.0,0.0,"[100, 100]",sbm,graph,0.2,4136.0,50.0,2255.0,0.55,100.0,fid_mat,0.28,42.0,1589802894
6138,50.0,0.0,"[100, 100]",sbm,graph,0.4,8488.0,50.0,7861.0,0.83,100.0,fid_mat,0.87,42.0,1589802894
6139,50.0,5.655534521233986e-05,"[100, 100]",sbm,graph,0.4,5450.0,50.0,4781.0,0.55,100.0,fid_mat,0.55,42.0,1589802894
6140,50.0,1.0,"[100, 100]",sbm,graph,0.4,4439.0,50.0,1403.0,0.74,100.0,fid_mat,0.14,42.0,1589802894
6141,50.0,0.0,"[100, 100]",sbm,graph,0.2,4932.0,50.0,3870.0,0.87,100.0,fid_mat,0.46,42.0,1589802894
6142,50.0,0.0,"[100, 100]",sbm,graph,0.2,3784.0,50.0,2396.0,0.14,100.0,fid_mat,0.69,42.0,1589802894
6143,50.0,0.9799995050507552,"[100, 100]",sbm,graph,0.4,5330.0,50.0,4621.0,0.6,100.0,fid_mat,0.46,42.0,1589802894
6144,50.0,0.0,"[100, 100]",sbm,graph,0.2,4424.0,50.0,2869.0,0.28,100.0,fid_mat,0.69,42.0,1589802894
6145,50.0,0.0,"[100, 100]",sbm,graph,0.2,5739.0,50.0,3224.0,0.74,100.0,fid_mat,0.41,42.0,1589802894
6146,50.0,0.0,"[100, 100]",sbm,graph,0.4,4801.0,50.0,4345.0,0.09,100.0,fid_mat,0.87,42.0,1589802894
6147,50.0,0.0,"[100, 100]",sbm,graph,0.2,8758.0,50.0,5575.0,0.83,100.0,fid_mat,0.92,42.0,1589802894
6148,50.0,0.0,"[100, 100]",sbm,graph,0.2,7880.0,50.0,4805.0,0.74,100.0,fid_mat,0.83,42.0,1589802894
6149,50.0,0.0,"[100, 100]",sbm,graph,0.2,4355.0,50.0,2559.0,0.41,100.0,fid_mat,0.46,42.0,1589802894
6150,50.0,0.0,"[100, 100]",sbm,graph,0.3,5073.0,50.0,3862.0,0.55,100.0,fid_mat,0.46,42.0,1589802894
6151,50.0,1.0,"[100, 100]",sbm,graph,0.4,4619.0,50.0,913.0,0.83,100.0,fid_mat,0.09,42.0,1589802894
6152,50.0,0.0,"[100, 100]",sbm,graph,0.2,2978.0,50.0,1668.0,0.05,100.0,fid_mat,0.55,42.0,1589802894
6153,50.0,0.0,"[100, 100]",sbm,graph,0.4,7357.0,50.0,6659.0,0.64,100.0,fid_mat,0.83,42.0,1589802894
6154,50.0,0.0,"[100, 100]",sbm,graph,0.2,5106.0,50.0,3700.0,0.74,100.0,fid_mat,0.51,42.0,1589802894
6155,50.0,0.0,"[100, 100]",sbm,graph,0.2,6653.0,50.0,3819.0,0.87,100.0,fid_mat,0.46,42.0,1589802894
6156,50.0,0.0,"[100, 100]",sbm,graph,0.2,3542.0,50.0,2373.0,0.09,100.0,fid_mat,0.69,42.0,1589802894
6157,50.0,0.0,"[100, 100]",sbm,graph,0.4,6455.0,50.0,5791.0,0.46,100.0,fid_mat,0.83,42.0,1589802894
6158,50.0,0.0,"[100, 100]",sbm,graph,0.2,2322.0,50.0,1199.0,0.14,100.0,fid_mat,0.32,42.0,1589802894
6159,50.0,1.0,"[100, 100]",sbm,graph,0.2,4008.0,50.0,3217.0,0.92,100.0,fid_mat,0.32,42.0,1589802894
6160,50.0,0.0,"[100, 100]",sbm,graph,0.2,5079.0,50.0,2931.0,0.37,100.0,fid_mat,0.64,42.0,1589802894
6161,50.0,0.0,"[100, 100]",sbm,graph,0.2,5087.0,50.0,3375.0,0.64,100.0,fid_mat,0.51,42.0,1589802894
6162,50.0,1.0,"[100, 100]",sbm,graph,0.2,5091.0,50.0,1828.0,0.83,100.0,fid_mat,0.18,42.0,1589802894
6163,50.0,0.4010981922929241,"[100, 100]",sbm,graph,0.3,3211.0,50.0,2270.0,0.41,100.0,fid_mat,0.23,42.0,1589802894
6164,50.0,0.0,"[100, 100]",sbm,graph,0.3,4871.0,50.0,3649.0,0.41,100.0,fid_mat,0.55,42.0,1589802894
